objectid,objectnumber,classification,culture,division,title,accessionyear,placeid,placename,lat,lon,personid,personculture,personname,personrole,uniquepageviews_2008,uniquepageviews_2009,uniquepageviews_2010,uniquepageviews_2011,uniquepageviews_2012,uniquepageviews_2013,uniquepageviews_2014,uniquepageviews_2015,uniquepageviews_2016,uniquepageviews_2017,uniquepageviews_2018,edits_2008,edits_2009,edits_2010,edits_2011,edits_2012,edits_2013,edits_2014,edits_2015,edits_2016,edits_2017,edits_2018,studycenterviews_2008,studycenterviews_2009,studycenterviews_2010,studycenterviews_2011,studycenterviews_2012,studycenterviews_2013,studycenterviews_2014,studycenterviews_2015,studycenterviews_2016,studycenterviews_2017,studycenterviews_2018,conservation_2008,conservation_2009,conservation_2010,conservation_2011,conservation_2012,conservation_2013,conservation_2014,conservation_2015,conservation_2016,conservation_2017,conservation_2018,pageviews_2008,pageviews_2009,pageviews_2010,pageviews_2011,pageviews_2012,pageviews_2013,pageviews_2014,pageviews_2015,pageviews_2016,pageviews_2017,pageviews_2018,moves_2008,moves_2009,moves_2010,moves_2011,moves_2012,moves_2013,moves_2014,moves_2015,moves_2016,moves_2017,moves_2018
348038,2013.16,Sculpture,Palestinian,Modern and Contemporary Art,Hair Necklace,2013,0,,0,0,59175,Palestinian,Mona Hatoum,Artist,,,,,,7,22,80,284,342,238,,,,,,28,0,2,0,0,1,,,,,,,,,,,8,,,,,,1,,,,,,,,,,,7,25,91,317,384,285,,,,,,4,1,0,0,1,
166668,P2001.28.1-4,Photographs,American,Modern and Contemporary Art,You Became a Scientific Profile / A Negroid Type / An Anthropological Debate / & A Photographic Subject,2001,2028213,"North America, United States",38,-98,21824,American,Carrie Mae Weems,Artist,,5,1,1,1,0,5,34,68,58,61,,1,0,0,1,0,0,3,,,,,,,,1,0,0,3,2,23,7,,,,,,,,,,,,,6,1,2,2,0,6,36,76,66,64,,2,,,,,,,,,
178502,P2000.4.7,Photographs,American,Modern and Contemporary Art,"John in Sixteen Parts (Part #7, Bottom Row #4)",2000,2028276,"North America, United States, New York State, New York City",40.7,-74,18077,American,Gary Schneider,Artist,,,,,1,0,1,,,,,,,,,1,2,1,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,0,1,,,,,,4,0,0,0,0,11,1,7,,
178504,P2000.4.3,Photographs,American,Modern and Contemporary Art,"John in Sixteen Parts (Part #3, Bottom Row #2)",2000,2028276,"North America, United States, New York State, New York City",40.7,-74,18077,American,Gary Schneider,Artist,,,,,,,,2,,,,,,,,1,2,1,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,2,,,,,4,0,0,0,0,11,1,7,,
195631,P1998.68.1,Photographs,American,Modern and Contemporary Art,"Self-Portrait (Hand, three panels, horizontal, no. 2)",1998,2028213,"North America, United States",38,-98,18978,American,John Coplans,Artist,,,,1,1,0,0,4,2,2,,,,,1,2,4,1,,,,,,,,,1,0,0,0,0,1,,,,,,1,,,,,,,,,,6,2,0,0,4,2,2,,,5,1,0,5,2,9,3,0,6,
341235,2012.274,Paintings,American,Modern and Contemporary Art,Available Portrait Colors,2012,0,,0,0,34308,American,Annette Lemieux,Artist,,,,,,22,4,6,30,28,6,,,,,20,9,0,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,28,4,7,33,36,7,,,,,7,1,0,0,11,5,
177800,P2000.4.1,Photographs,American,Modern and Contemporary Art,"John in Sixteen Parts (Part #1, Top Row #1)",2000,2028276,"North America, United States, New York State, New York City",40.7,-74,18077,American,Gary Schneider,Artist,,,1,3,1,0,2,2,,,,,,,1,1,2,1,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,2,6,1,0,2,4,,,,,4,0,0,0,0,11,1,7,,
178909,P2000.4.12,Photographs,American,Modern and Contemporary Art,"John in Sixteen Parts (Part #12, Top Row #6)",2000,2028276,"North America, United States, New York State, New York City",40.7,-74,18077,American,Gary Schneider,Artist,,,,,,,,,1,,,,,,,1,2,1,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,4,0,0,0,0,11,1,7,,
178910,P2000.4.14,Photographs,American,Modern and Contemporary Art,"John in Sixteen Parts (Part #14, Bottom Row #7)",2000,2028276,"North America, United States, New York State, New York City",40.7,-74,18077,American,Gary Schneider,Artist,,,,,,,,,,,,,,,,1,2,1,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,4,0,0,0,0,11,1,7,,
178911,P2000.4.13,Photographs,American,Modern and Contemporary Art,"John in Sixteen Parts (Part #13, Top Row #7)",2000,2028276,"North America, United States, New York State, New York City",40.7,-74,18077,American,Gary Schneider,Artist,,,,,,,1,1,,,,,,,,1,2,1,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,1,,,,,4,0,0,0,0,11,1,7,,
